county_fips,cbsa_code,cbsa_title,kind
01001,33860,"Montgomery, AL",metro
01003,19300,"Daphne-Fairhope-Foley, AL",metro
01005,21640,"Eufaula, AL-GA",micro
01007,13820,"Birmingham-Hoover, AL",metro
01009,13820,"Birmingham-Hoover, AL",metro
01015,11500,"Anniston-Oxford, AL",metro
01017,29300,"LaGrange, GA-AL",micro
01021,13820,"Birmingham-Hoover, AL",metro
01031,21460,"Enterprise, AL",micro
01033,22520,"Florence-Muscle Shoals, AL",metro
01037,10760,"Alexander City, AL",micro
01043,18980,"Cullman, AL",micro
01045,37120,"Ozark, AL",micro
01047,42820,"Selma, AL",micro
01049,22840,"Fort Payne, AL",micro
01051,33860,"Montgomery, AL",metro
01053,12120,"Atmore, AL",micro
01055,23460,"Gadsden, AL",metro
01061,20020,"Dothan, AL",metro
01063,46220,"Tuscaloosa, AL",metro
01065,46220,"Tuscaloosa, AL",metro
01067,20020,"Dothan, AL",metro
01069,20020,"Dothan, AL",metro
01071,42460,"Scottsboro, AL",micro
01073,13820,"Birmingham-Hoover, AL",metro
01077,22520,"Florence-Muscle Shoals, AL",metro
01079,19460,"Decatur, AL",metro
01081,12220,"Auburn-Opelika, AL",metro
01083,26620,"Huntsville, AL",metro
01085,33860,"Montgomery, AL",metro
01089,26620,"Huntsville, AL",metro
01095,10700,"Albertville, AL",micro
01097,33660,"Mobile, AL",metro
01101,33860,"Montgomery, AL",metro
01103,19460,"Decatur, AL",metro
01107,46220,"Tuscaloosa, AL",metro
01109,45980,"Troy, AL",micro
01113,17980,"Columbus, GA-AL",metro
01115,13820,"Birmingham-Hoover, AL",metro
01117,13820,"Birmingham-Hoover, AL",metro
01121,45180,"Talladega-Sylacauga, AL",micro
01123,10760,"Alexander City, AL",micro
01125,46220,"Tuscaloosa, AL",metro
01127,27530,"Jasper, AL",micro
01129,33660,"Mobile, AL",metro
02020,11260,"Anchorage, AK",metro
02090,21820,"Fairbanks, AK",metro
02110,27940,"Juneau, AK",micro
02130,28540,"Ketchikan, AK",micro
02170,11260,"Anchorage, AK",metro
04003,43420,"Sierra Vista-Douglas, AZ",metro
04005,22380,"Flagstaff, AZ",metro
04007,37740,"Payson, AZ",micro
04009,40940,"Safford, AZ",micro
04013,38060,"Phoenix-Mesa-Chandler, AZ",metro
04015,29420,"Lake Havasu City-Kingman, AZ",metro
04017,43320,"Show Low, AZ",micro
04019,46060,"Tucson, AZ",metro
04021,38060,"Phoenix-Mesa-Chandler, AZ",metro
04023,35700,"Nogales, AZ",micro
04025,39150,"Prescott Valley-Prescott, AZ",metro
04027,49740,"Yuma, AZ",metro
05005,34260,"Mountain Home, AR",micro
05007,22220,"Fayetteville-Springdale-Rogers, AR",metro
05009,25460,"Harrison, AR",micro
05013,15780,"Camden, AR",micro
05019,11660,"Arkadelphia, AR",micro
05025,38220,"Pine Bluff, AR",metro
05027,31620,"Magnolia, AR",micro
05031,27860,"Jonesboro, AR",metro
05033,22900,"Fort Smith, AR-OK",metro
05035,32820,"Memphis, TN-MS-AR",metro
05045,30780,"Little Rock-North Little Rock-Conway, AR",metro
05047,22900,"Fort Smith, AR-OK",metro
05051,26300,"Hot Springs, AR",metro
05053,30780,"Little Rock-North Little Rock-Conway, AR",metro
05055,37500,"Paragould, AR",micro
05057,26260,"Hope, AR",micro
05059,31680,"Malvern, AR",micro
05063,12900,"Batesville, AR",micro
05069,38220,"Pine Bluff, AR",metro
05079,38220,"Pine Bluff, AR",metro
05081,45500,"Texarkana, TX-AR",metro
05085,30780,"Little Rock-North Little Rock-Conway, AR",metro
05087,22220,"Fayetteville-Springdale-Rogers, AR",metro
05091,45500,"Texarkana, TX-AR",metro
05093,14180,"Blytheville, AR",micro
05099,26260,"Hope, AR",micro
05101,25460,"Harrison, AR",micro
05103,15780,"Camden, AR",micro
05105,30780,"Little Rock-North Little Rock-Conway, AR",metro
05107,25760,"Helena-West Helena, AR",micro
05111,27860,"Jonesboro, AR",metro
05115,40780,"Russellville, AR",micro
05119,30780,"Little Rock-North Little Rock-Conway, AR",metro
05123,22620,"Forrest City, AR",micro
05125,30780,"Little Rock-North Little Rock-Conway, AR",metro
05131,22900,"Fort Smith, AR-OK",metro
05135,12900,"Batesville, AR",micro
05139,20980,"El Dorado, AR",micro
05143,22220,"Fayetteville-Springdale-Rogers, AR",metro
05145,42620,"Searcy, AR",micro
05149,40780,"Russellville, AR",micro
06001,41860,"San Francisco-Oakland-Berkeley, CA",metro
06007,17020,"Chico, CA",metro
06013,41860,"San Francisco-Oakland-Berkeley, CA",metro
06015,18860,"Crescent City, CA",micro
06017,40900,"Sacramento-Roseville-Folsom, CA",metro
06019,23420,"Fresno, CA",metro
06023,21700,"Eureka-Arcata, CA",micro
06025,20940,"El Centro, CA",metro
06029,12540,"Bakersfield, CA",metro
06031,25260,"Hanford-Corcoran, CA",metro
06033,17340,"Clearlake, CA",micro
06035,45000,"Susanville, CA",micro
06037,31080,"Los Angeles-Long Beach-Anaheim, CA",metro
06039,31460,"Madera, CA",metro
06041,41860,"San Francisco-Oakland-Berkeley, CA",metro
06045,46380,"Ukiah, CA",micro
06047,32900,"Merced, CA",metro
06053,41500,"Salinas, CA",metro
06055,34900,"Napa, CA",metro
06057,46020,"Truckee-Grass Valley, CA",micro
06059,31080,"Los Angeles-Long Beach-Anaheim, CA",metro
06061,40900,"Sacramento-Roseville-Folsom, CA",metro
06065,40140,"Riverside-San Bernardino-Ontario, CA",metro
06067,40900,"Sacramento-Roseville-Folsom, CA",metro
06069,41940,"San Jose-Sunnyvale-Santa Clara, CA",metro
06071,40140,"Riverside-San Bernardino-Ontario, CA",metro
06073,41740,"San Diego-Chula Vista-Carlsbad, CA",metro
06075,41860,"San Francisco-Oakland-Berkeley, CA",metro
06077,44700,"Stockton, CA",metro
06079,42020,"San Luis Obispo-Paso Robles, CA",metro
06081,41860,"San Francisco-Oakland-Berkeley, CA",metro
06083,42200,"Santa Maria-Santa Barbara, CA",metro
06085,41940,"San Jose-Sunnyvale-Santa Clara, CA",metro
06087,42100,"Santa Cruz-Watsonville, CA",metro
06089,39820,"Redding, CA",metro
06095,46700,"Vallejo, CA",metro
